	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-626.0	0	0	0	0	0	10
Cluster-627.0	0	0	0	0	0	41
Cluster-628.0	0	0	0	0	0	25
Cluster-629.0	0	0	0	0	0	12
Cluster-630.0	0	0	0	0	0	26
Cluster-631.0	0	0	0	0	0	55
Cluster-632.0	0	0	0	0	0	15
Cluster-633.0	0	0	0	0	0	64
Cluster-634.0	0	0	0	0	0	33
Cluster-635.0	0	0	0	0	0	29
Cluster-636.0	0	0	0	0	0	24
Cluster-637.0	0	0	0	0	0	27
Cluster-638.0	0	0	0	0	0	24
Cluster-639.0	0	0	0	0	0	15
Cluster-640.0	0	0	0	0	0	13
Cluster-641.0	0	0	0	0	0	26
Cluster-642.0	0	0	0	0	0	12
Cluster-643.0	0	0	0	0	0	20
Cluster-644.0	0	0	0	0	0	34
Cluster-645.0	124	36	0	33	12	142
Cluster-646.0	0	0	0	0	0	24
Cluster-647.0	0	0	0	0	0	16
Cluster-648.0	0	0	0	0	0	13
Cluster-649.0	0	0	0	0	0	73
Cluster-650.0	0	0	0	0	0	39
Cluster-651.0	0	0	0	0	0	17
Cluster-652.0	0	0	0	0	0	20
Cluster-653.0	0	0	0	0	0	40
Cluster-654.0	0	0	0	0	0	28
Cluster-655.0	0	0	0	0	0	110
Cluster-655.1	0	0	0	0	0	116
