	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-300.0	0	0	0	0	0	0	0	0	0	0	43
Cluster-301.0	0	0	0	0	0	0	0	0	0	0	33
Cluster-302.0	0	0	0	0	0	0	0	0	0	0	126
Cluster-303.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-304.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-305.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-306.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-307.0	10	2	6	14	0	4	0	11	16	22	70
Cluster-307.1	4	8	0	4	6	0	2	4	11	5	13
Cluster-308.0	0	0	0	0	0	0	0	0	0	0	22
Cluster-309.0	0	0	0	0	0	0	0	0	0	0	52
Cluster-310.0	0	0	0	0	0	0	0	0	0	0	71
Cluster-311.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-312.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-313.0	0	0	0	0	0	0	0	0	0	0	18
Cluster-314.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-315.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-316.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-317.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-318.0	0	0	0	0	0	0	0	0	0	0	191
Cluster-319.0	0	0	0	0	0	0	0	0	0	0	129
Cluster-320.0	0	0	0	0	0	0	0	0	0	0	141
Cluster-320.1	0	0	0	0	0	0	0	0	0	0	21
Cluster-321.0	0	0	0	0	0	0	0	0	0	0	70
Cluster-322.0	0	0	0	0	0	0	0	0	0	0	30
Cluster-323.0	0	0	0	0	0	0	0	0	0	0	44
Cluster-324.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-325.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-326.0	0	0	0	0	0	0	0	0	0	0	62
Cluster-327.0	0	0	0	0	0	0	0	0	0	0	47
Cluster-328.0	0	0	0	0	0	0	0	0	0	0	125
Cluster-329.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-330.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-331.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-332.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-333.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-334.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-335.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-336.0	0	0	0	0	0	0	0	0	0	0	11
